training_date,employee_id,training_category,training_hours,training_cost,completion_status
2022-06-30,EMP00011,Leadership,5.85,12588.48,Completed
2022-09-30,EMP00011,Data Literacy,2.77,4939.24,Completed
2022-10-31,EMP00011,Data Literacy,10.46,16969.45,Completed
2023-07-31,EMP00011,Data Literacy,3.81,3248.09,Completed
2024-01-31,EMP00011,Communication,15.6,24345.8,Completed
2024-02-29,EMP00011,Data Literacy,11.57,23972.84,Completed
2024-04-30,EMP00011,Compliance,17.99,16244.63,Completed
2024-05-31,EMP00011,Communication,21.96,26163.59,Completed
2024-07-31,EMP00011,Technical Skills,12.36,14422.67,Completed
2024-10-31,EMP00011,Data Literacy,11.52,11711.8,Completed
2024-11-30,EMP00011,Compliance,22.38,23559.0,In Progress
2022-01-31,EMP00012,Communication,7.72,13352.05,Completed
2022-09-30,EMP00012,Data Literacy,22.92,25667.3,Completed
2023-04-30,EMP00012,Data Literacy,11.31,20475.45,Completed
2023-05-31,EMP00012,Compliance,23.41,39382.74,Completed
2023-08-31,EMP00012,Leadership,14.12,29195.69,Completed
2023-10-31,EMP00012,Technical Skills,20.54,13811.38,Completed
2024-05-31,EMP00012,Leadership,17.31,15598.97,Completed
2024-06-30,EMP00012,Communication,5.26,6706.54,Completed
2024-03-31,EMP00013,Communication,12.69,19614.46,Completed
2024-04-30,EMP00013,Data Literacy,8.95,6279.47,In Progress
2023-05-31,EMP00014,Data Literacy,6.93,7016.73,Completed
2023-12-31,EMP00014,Communication,9.51,13390.43,Completed
2024-10-31,EMP00014,Data Literacy,15.74,25012.43,Completed
2022-06-30,EMP00015,Compliance,8.26,15327.77,Completed
2022-07-31,EMP00015,Compliance,13.36,12132.06,Completed
2022-12-31,EMP00015,Cybersecurity,12.07,25936.63,Completed
2023-01-31,EMP00015,Technical Skills,22.77,27117.51,In Progress
2023-02-28,EMP00015,Data Literacy,5.37,6413.65,Dropped
2023-05-31,EMP00015,Leadership,11.19,16974.05,Completed
2022-03-31,EMP00016,Leadership,8.05,7480.77,In Progress
2022-02-28,EMP00017,Data Literacy,8.98,9083.13,Completed
2022-04-30,EMP00017,Cybersecurity,3.29,4026.64,Completed
2022-07-31,EMP00017,Data Literacy,10.96,15066.43,Completed
2022-12-31,EMP00017,Communication,8.01,8021.39,Completed
2023-03-31,EMP00017,Data Literacy,23.06,25580.14,Completed
2023-05-31,EMP00017,Communication,23.1,25999.78,In Progress
2023-10-31,EMP00017,Leadership,6.87,4339.44,Completed
2024-04-30,EMP00017,Data Literacy,18.04,18742.2,In Progress
2024-12-31,EMP00017,Communication,11.5,7342.03,Completed
2022-02-28,EMP00018,Leadership,19.07,30346.21,Completed
2022-05-31,EMP00018,Cybersecurity,3.23,2207.79,In Progress
2022-12-31,EMP00018,Communication,13.29,21831.85,Completed
2023-01-31,EMP00018,Compliance,23.35,33350.55,Completed
2023-03-31,EMP00018,Cybersecurity,12.47,21285.61,Completed
2023-04-30,EMP00018,Compliance,11.21,9636.65,Completed
2023-08-31,EMP00018,Communication,6.28,9652.98,Completed
2023-10-31,EMP00018,Technical Skills,20.54,42251.57,Completed
2023-11-30,EMP00018,Technical Skills,8.71,8572.73,Completed
2023-12-31,EMP00018,Technical Skills,19.49,17671.39,Completed
2024-09-30,EMP00018,Leadership,4.96,3642.85,Completed
2024-12-31,EMP00018,Leadership,8.48,11895.95,Completed
2022-01-31,EMP00019,Technical Skills,9.34,15692.8,Completed
2022-02-28,EMP00019,Cybersecurity,18.28,37653.36,Completed
2022-03-31,EMP00019,Cybersecurity,13.28,24141.14,Completed
2022-04-30,EMP00019,Technical Skills,13.35,24798.42,Completed
2022-06-30,EMP00019,Technical Skills,14.71,11846.74,In Progress
2022-09-30,EMP00019,Cybersecurity,19.58,40374.03,Completed
2023-04-30,EMP00019,Communication,12.52,8889.46,In Progress
2023-08-31,EMP00019,Data Literacy,21.34,28517.22,Completed
2022-02-28,EMP00020,Technical Skills,5.95,9450.85,Completed
2022-03-31,EMP00020,Technical Skills,8.02,12871.56,Completed
2022-04-30,EMP00020,Communication,11.05,20099.7,Completed
2022-06-30,EMP00020,Cybersecurity,16.86,22576.32,Completed
2022-07-31,EMP00020,Leadership,17.6,14403.29,Completed
2022-09-30,EMP00020,Leadership,15.35,13562.93,Completed
2022-10-31,EMP00020,Compliance,5.38,6310.41,Completed
2022-12-31,EMP00020,Leadership,15.16,10276.41,Completed
2023-01-31,EMP00020,Leadership,2.35,1515.07,Completed
2023-03-31,EMP00020,Data Literacy,4.37,4909.37,Completed
2023-08-31,EMP00020,Data Literacy,12.99,28380.02,Completed
2023-11-30,EMP00020,Leadership,15.39,23639.95,Completed
2024-02-29,EMP00020,Technical Skills,10.27,16711.98,Completed
2024-06-30,EMP00020,Cybersecurity,2.13,4242.51,Completed
2024-11-30,EMP00020,Compliance,10.76,9344.26,Completed
2024-12-31,EMP00020,Compliance,15.09,12743.17,Completed
2022-06-30,EMP00021,Cybersecurity,12.75,21695.18,Completed
2022-07-31,EMP00021,Leadership,22.27,26239.91,Completed
2022-08-31,EMP00021,Communication,22.77,19030.89,Completed
2023-03-31,EMP00021,Compliance,6.1,4971.08,Completed
2023-04-30,EMP00021,Leadership,18.5,35051.69,Completed
2023-05-31,EMP00021,Cybersecurity,5.65,6039.86,Completed
2023-06-30,EMP00021,Leadership,7.85,16707.48,Completed
2023-07-31,EMP00021,Data Literacy,13.44,28752.09,Completed
2024-01-31,EMP00021,Cybersecurity,23.07,43837.39,Completed
2024-05-31,EMP00021,Data Literacy,21.28,39490.98,Completed
2022-06-30,EMP00022,Compliance,18.29,38400.53,Completed
2022-07-31,EMP00022,Communication,14.69,8853.45,Completed
2022-08-31,EMP00022,Compliance,19.55,40943.18,Completed
2022-10-31,EMP00022,Cybersecurity,16.64,31317.59,Completed
2022-11-30,EMP00022,Cybersecurity,14.63,23550.25,Completed
2023-02-28,EMP00022,Cybersecurity,22.07,18863.43,Completed
2023-03-31,EMP00022,Cybersecurity,22.31,38412.78,Completed
2023-08-31,EMP00022,Communication,16.95,14732.21,Completed
2023-11-30,EMP00022,Data Literacy,23.0,37822.93,Completed
2023-12-31,EMP00022,Leadership,3.82,5282.1,Completed
2024-03-31,EMP00022,Cybersecurity,22.0,41191.91,Completed
2024-06-30,EMP00022,Data Literacy,11.84,13058.02,Completed
2024-07-31,EMP00022,Leadership,3.86,3086.25,Completed
2024-08-31,EMP00022,Compliance,3.02,6382.08,In Progress
2024-11-30,EMP00022,Technical Skills,23.06,36052.72,Completed
2022-05-31,EMP00023,Data Literacy,10.95,12340.34,Completed
2022-07-31,EMP00023,Data Literacy,18.02,19650.44,In Progress
2022-09-30,EMP00023,Cybersecurity,16.91,31486.35,Completed
2022-10-31,EMP00023,Data Literacy,17.69,29225.66,Completed
2023-04-30,EMP00023,Communication,19.78,12206.47,In Progress
2024-03-31,EMP00023,Cybersecurity,6.1,7120.24,Completed
2024-05-31,EMP00023,Cybersecurity,7.5,10148.38,Completed
2024-08-31,EMP00023,Communication,18.37,37504.13,Completed
2022-11-30,EMP00024,Leadership,3.15,5643.56,Completed
2023-03-31,EMP00024,Cybersecurity,15.24,10144.69,Dropped
2023-04-30,EMP00024,Data Literacy,15.62,16906.5,Completed
2023-05-31,EMP00024,Communication,14.11,14167.02,In Progress
2023-11-30,EMP00024,Cybersecurity,2.19,4567.91,Completed
2024-06-30,EMP00024,Compliance,5.89,12690.4,Completed
2024-09-30,EMP00024,Cybersecurity,11.55,9671.22,Completed
2024-11-30,EMP00024,Compliance,2.46,2117.25,Completed
2024-12-31,EMP00024,Cybersecurity,23.35,17754.73,Completed
2022-01-31,EMP00025,Leadership,18.8,30666.02,Completed
2022-05-31,EMP00025,Data Literacy,17.22,27620.49,Completed
2022-10-31,EMP00025,Leadership,15.3,13539.1,Completed
2023-03-31,EMP00025,Technical Skills,6.0,7296.17,Completed
2023-06-30,EMP00025,Leadership,14.78,18843.69,Completed
2023-07-31,EMP00025,Leadership,9.97,13542.07,Completed
2023-09-30,EMP00025,Technical Skills,4.58,7846.68,Completed
2023-10-31,EMP00025,Leadership,16.58,11904.98,In Progress
2023-11-30,EMP00025,Leadership,2.27,4380.44,Completed
2024-01-31,EMP00025,Technical Skills,3.32,5404.72,Completed
2024-05-31,EMP00025,Communication,6.04,10833.3,Completed
2024-06-30,EMP00025,Compliance,16.23,14794.76,Completed
2024-07-31,EMP00025,Technical Skills,8.21,12040.04,Completed
2024-10-31,EMP00025,Compliance,18.54,39564.03,Completed
2024-12-31,EMP00025,Data Literacy,19.51,26594.57,In Progress
2024-06-30,EMP00026,Cybersecurity,16.39,29995.69,Completed
2024-07-31,EMP00026,Data Literacy,20.83,26859.08,In Progress
2024-09-30,EMP00026,Compliance,14.04,30190.43,Completed
2024-10-31,EMP00026,Compliance,5.55,5817.44,Completed
2022-05-31,EMP00027,Leadership,8.39,7157.75,Completed
2022-07-31,EMP00027,Communication,18.9,17372.0,Completed
2022-08-31,EMP00027,Cybersecurity,12.48,13046.59,Completed
2022-11-30,EMP00027,Cybersecurity,11.3,11337.45,Completed
2023-02-28,EMP00027,Compliance,22.72,31140.04,Completed
2023-11-30,EMP00027,Compliance,13.05,25948.79,Completed
2023-12-31,EMP00027,Technical Skills,12.09,14471.66,Completed
2024-08-31,EMP00027,Compliance,7.89,13049.2,Completed
2022-03-31,EMP00028,Leadership,15.89,29473.57,In Progress
2022-04-30,EMP00028,Leadership,4.05,5264.49,Completed
2022-06-30,EMP00028,Cybersecurity,21.75,23382.9,Completed
2023-02-28,EMP00028,Technical Skills,16.51,26580.13,In Progress
2023-03-31,EMP00028,Data Literacy,18.32,38152.01,Completed
2023-05-31,EMP00028,Compliance,5.05,3704.22,Completed
2024-04-30,EMP00028,Compliance,6.7,10103.27,Completed
2024-07-31,EMP00028,Communication,12.97,28331.87,Completed
2024-10-31,EMP00028,Data Literacy,22.2,14709.55,Completed
2022-02-28,EMP00029,Leadership,5.05,11057.81,In Progress
2022-03-31,EMP00029,Cybersecurity,21.1,21427.06,Completed
2022-04-30,EMP00029,Cybersecurity,15.48,29411.64,Completed
2022-05-31,EMP00029,Compliance,20.96,37829.78,In Progress
2022-07-31,EMP00029,Compliance,18.86,32782.64,Completed
2022-08-31,EMP00029,Leadership,3.65,5078.5,Completed
2022-11-30,EMP00029,Compliance,10.48,13874.38,Completed
2023-02-28,EMP00029,Communication,16.56,21929.17,Completed
2023-03-31,EMP00029,Compliance,10.14,6881.16,Completed
2023-04-30,EMP00029,Compliance,13.65,18970.58,Completed
2023-05-31,EMP00029,Leadership,21.69,32976.8,Completed
2023-07-31,EMP00029,Cybersecurity,8.34,12961.21,Completed
2023-09-30,EMP00029,Communication,5.12,3176.32,Completed
2022-02-28,EMP00030,Leadership,14.48,31633.89,In Progress
2022-05-31,EMP00030,Compliance,21.61,39746.02,In Progress
2022-06-30,EMP00030,Technical Skills,9.86,6403.55,Completed
2022-07-31,EMP00030,Communication,16.05,34422.83,In Progress
2022-08-31,EMP00030,Cybersecurity,9.67,10926.26,Completed
2022-09-30,EMP00030,Communication,14.47,27030.55,Completed
2022-11-30,EMP00030,Data Literacy,16.62,18046.54,Completed
2023-01-31,EMP00030,Compliance,5.03,10089.96,Completed
2023-02-28,EMP00030,Cybersecurity,6.33,9725.16,Completed
2023-05-31,EMP00030,Data Literacy,5.06,9250.98,Completed
2024-01-31,EMP00030,Cybersecurity,4.36,6762.11,In Progress
2024-02-29,EMP00030,Data Literacy,16.84,30025.41,Completed
2024-05-31,EMP00030,Technical Skills,15.28,12127.05,Completed
2024-06-30,EMP00030,Communication,12.64,11306.1,Completed
2024-08-31,EMP00030,Cybersecurity,16.46,14373.54,Completed
2024-10-31,EMP00030,Compliance,12.06,18122.98,Completed
2024-12-31,EMP00030,Technical Skills,9.87,19437.42,Completed
2022-01-31,EMP00031,Cybersecurity,17.82,20365.87,Completed
2022-02-28,EMP00031,Communication,3.5,6800.22,Completed
2022-03-31,EMP00031,Compliance,14.95,22860.94,Completed
2022-07-31,EMP00031,Data Literacy,7.51,4955.62,Completed
2022-09-30,EMP00031,Communication,11.63,12301.55,Completed
2023-04-30,EMP00031,Communication,7.07,11046.05,Completed
2024-01-31,EMP00031,Leadership,12.93,12417.87,Completed
2024-05-31,EMP00031,Communication,4.6,7291.21,In Progress
2024-06-30,EMP00031,Leadership,7.0,12571.73,In Progress
2024-08-31,EMP00031,Leadership,8.91,13934.04,In Progress
2024-09-30,EMP00031,Cybersecurity,18.17,21279.49,In Progress
2022-02-28,EMP00032,Cybersecurity,19.96,16509.67,Dropped
2022-07-31,EMP00032,Compliance,22.62,46508.67,Completed
2023-02-28,EMP00032,Compliance,16.5,30556.05,Completed
2023-06-30,EMP00032,Compliance,7.71,10731.44,Completed
2023-07-31,EMP00032,Leadership,16.4,14674.86,Completed
2023-10-31,EMP00032,Communication,4.49,3250.4,Completed
2023-11-30,EMP00032,Communication,21.27,17631.28,Completed
2023-12-31,EMP00032,Compliance,2.98,6223.71,In Progress
2024-01-31,EMP00032,Cybersecurity,19.18,27103.1,Completed
2022-06-30,EMP00033,Compliance,21.74,44292.34,Completed
2023-03-31,EMP00033,Compliance,12.71,12173.81,Completed
2023-09-30,EMP00033,Technical Skills,23.85,42229.14,Completed
2023-10-31,EMP00033,Leadership,9.2,12983.93,Completed
2024-01-31,EMP00033,Data Literacy,10.28,21681.13,Completed
2024-02-29,EMP00033,Communication,8.22,7543.63,In Progress
2024-03-31,EMP00033,Cybersecurity,7.79,9413.94,Completed
2024-04-30,EMP00033,Compliance,20.5,41001.28,Completed
2024-06-30,EMP00033,Communication,4.55,6113.28,Completed
2024-07-31,EMP00033,Communication,20.48,40599.85,Completed
2024-08-31,EMP00033,Communication,3.34,6128.49,Completed
2024-09-30,EMP00033,Cybersecurity,6.82,11034.94,Completed
2024-10-31,EMP00033,Technical Skills,19.15,14870.07,Dropped
2022-04-30,EMP00034,Compliance,8.63,8353.91,Completed
2022-09-30,EMP00034,Cybersecurity,14.68,17653.13,Completed
2023-01-31,EMP00034,Compliance,9.31,17647.01,Dropped
2023-03-31,EMP00034,Communication,7.54,8281.39,Completed
2023-07-31,EMP00034,Technical Skills,18.65,16026.86,Completed
2023-08-31,EMP00034,Communication,12.89,20648.03,Completed
2023-11-30,EMP00034,Data Literacy,22.94,27390.48,Completed
2024-01-31,EMP00034,Leadership,8.86,7976.47,Completed
2024-03-31,EMP00034,Communication,14.86,16185.52,Completed
2024-10-31,EMP00034,Leadership,21.71,14838.84,Completed
2024-11-30,EMP00034,Leadership,7.3,8973.12,Completed
2022-02-28,EMP00035,Communication,16.35,14466.8,In Progress
2022-05-31,EMP00035,Data Literacy,8.83,6627.56,Completed
2022-09-30,EMP00035,Cybersecurity,5.37,9547.4,In Progress
2022-10-31,EMP00035,Communication,16.02,11209.53,Completed
2023-04-30,EMP00035,Communication,14.5,24853.98,Completed
2023-05-31,EMP00035,Leadership,6.08,9398.69,Dropped
2023-08-31,EMP00035,Communication,17.53,15510.66,Completed
2023-09-30,EMP00035,Cybersecurity,11.67,8727.52,Completed
2024-01-31,EMP00035,Communication,7.74,16061.05,Completed
2024-02-29,EMP00035,Data Literacy,10.31,15892.09,Completed
2024-07-31,EMP00035,Cybersecurity,10.83,7193.35,In Progress
2024-11-30,EMP00035,Cybersecurity,9.33,19927.59,Dropped
2024-12-31,EMP00035,Technical Skills,6.41,5610.73,Completed
2022-01-31,EMP00036,Data Literacy,20.6,24695.54,Completed
2022-03-31,EMP00036,Technical Skills,10.8,12132.49,Completed
2022-04-30,EMP00036,Cybersecurity,18.29,28135.26,Completed
2022-05-31,EMP00036,Leadership,15.43,27815.59,In Progress
2022-09-30,EMP00036,Cybersecurity,4.23,8375.17,Completed
2023-03-31,EMP00036,Data Literacy,19.88,35072.42,Completed
2023-07-31,EMP00036,Leadership,9.86,6493.6,Completed
2023-08-31,EMP00036,Technical Skills,15.92,20532.99,Completed
2023-09-30,EMP00036,Leadership,5.23,11312.23,Completed
2023-10-31,EMP00036,Cybersecurity,18.48,23581.36,Completed
2023-11-30,EMP00036,Communication,23.23,43436.19,Completed
2024-01-31,EMP00036,Data Literacy,16.77,26285.23,In Progress
2024-02-29,EMP00036,Communication,16.46,17112.31,Completed
2024-04-30,EMP00036,Communication,12.46,18593.45,Completed
2024-07-31,EMP00036,Technical Skills,18.46,26718.02,Completed
2024-08-31,EMP00036,Data Literacy,5.67,6591.95,Completed
2022-01-31,EMP00037,Communication,12.89,17301.76,In Progress
2022-03-31,EMP00037,Data Literacy,16.37,35339.49,Completed
2022-06-30,EMP00037,Data Literacy,21.44,35302.8,Completed
2022-10-31,EMP00037,Technical Skills,23.4,32768.05,Completed
2022-11-30,EMP00037,Cybersecurity,23.17,14157.18,Completed
2023-02-28,EMP00037,Communication,20.22,35592.07,Completed
2023-03-31,EMP00037,Compliance,18.67,28522.14,Completed
2023-04-30,EMP00037,Technical Skills,19.5,18254.65,Completed
2023-07-31,EMP00037,Technical Skills,21.36,32075.52,Completed
2023-09-30,EMP00037,Compliance,20.9,21144.3,Completed
2023-10-31,EMP00037,Compliance,17.87,32036.11,Dropped
2024-02-29,EMP00037,Compliance,6.54,5494.53,Completed
2024-04-30,EMP00037,Cybersecurity,4.17,4700.52,Completed
2024-10-31,EMP00037,Cybersecurity,3.61,4928.66,Completed
2024-11-30,EMP00037,Communication,8.6,5292.13,Completed
2022-01-31,EMP00038,Cybersecurity,5.88,8300.61,Completed
2022-02-28,EMP00038,Cybersecurity,14.35,15700.14,Completed
2022-04-30,EMP00038,Cybersecurity,13.85,12357.65,Completed
2022-05-31,EMP00038,Data Literacy,12.38,20991.46,In Progress
2022-11-30,EMP00038,Communication,9.78,18470.44,Dropped
2023-06-30,EMP00038,Communication,4.95,8908.62,Completed
2023-08-31,EMP00038,Data Literacy,18.78,19102.09,Completed
2023-11-30,EMP00038,Data Literacy,18.45,11753.04,Completed
2024-08-31,EMP00038,Data Literacy,20.22,12742.54,Completed
2024-11-30,EMP00038,Leadership,2.58,4032.73,In Progress
2022-08-31,EMP00039,Communication,19.68,24412.91,In Progress
2022-09-30,EMP00039,Cybersecurity,3.86,6290.76,Completed
2022-11-30,EMP00039,Leadership,4.81,4084.72,Completed
2022-12-31,EMP00039,Technical Skills,5.84,8349.8,Completed
2023-05-31,EMP00039,Leadership,2.33,4742.72,Completed
2023-10-31,EMP00039,Communication,8.21,13004.83,Completed
2023-11-30,EMP00039,Communication,16.7,23912.18,Completed
2024-03-31,EMP00039,Data Literacy,10.92,23896.43,Completed
2024-04-30,EMP00039,Data Literacy,22.33,25447.43,In Progress
2024-07-31,EMP00039,Technical Skills,23.45,45214.52,Completed
2024-11-30,EMP00039,Data Literacy,9.98,9667.4,In Progress
2024-12-31,EMP00039,Cybersecurity,5.35,11275.16,Completed
2024-02-29,EMP00040,Technical Skills,18.82,35592.03,In Progress
2024-04-30,EMP00040,Communication,4.72,8417.87,In Progress
2024-05-31,EMP00040,Compliance,2.24,1764.37,Completed
2024-06-30,EMP00040,Cybersecurity,15.42,13043.51,In Progress
2024-07-31,EMP00040,Compliance,4.48,6032.06,Completed
2024-08-31,EMP00040,Cybersecurity,15.27,23797.92,Completed
2024-09-30,EMP00040,Cybersecurity,18.11,37081.5,Completed
2022-03-31,EMP00041,Cybersecurity,19.34,37975.5,Completed
2022-08-31,EMP00041,Cybersecurity,23.8,24301.65,Completed
2022-10-31,EMP00041,Data Literacy,13.84,26133.37,Dropped
2023-02-28,EMP00041,Data Literacy,8.83,12448.45,Completed
2023-03-31,EMP00041,Data Literacy,22.12,36743.63,In Progress
2023-06-30,EMP00041,Data Literacy,5.41,11838.61,Completed
2023-07-31,EMP00041,Technical Skills,11.69,22192.77,Completed
2024-04-30,EMP00041,Data Literacy,11.63,17976.5,Completed
2024-06-30,EMP00041,Cybersecurity,8.07,8095.98,In Progress
2024-10-31,EMP00041,Compliance,14.92,27443.75,Completed
2022-09-30,EMP00042,Data Literacy,2.28,2560.38,Completed
2022-10-31,EMP00042,Data Literacy,12.96,18874.2,Dropped
2023-02-28,EMP00042,Compliance,17.03,26297.22,Completed
2023-05-31,EMP00042,Communication,6.14,7655.69,Completed
2023-08-31,EMP00042,Technical Skills,11.85,10864.87,In Progress
2024-01-31,EMP00042,Data Literacy,3.15,6049.99,In Progress
2024-02-29,EMP00042,Technical Skills,4.17,8840.16,In Progress
2024-04-30,EMP00042,Technical Skills,16.51,34083.11,Completed
2024-11-30,EMP00042,Communication,3.46,5048.5,Completed
2024-05-31,EMP00043,Communication,4.41,4259.32,In Progress
2022-04-30,EMP00044,Communication,6.41,10452.25,Completed
2022-05-31,EMP00044,Cybersecurity,6.28,10379.71,Completed
2022-10-31,EMP00044,Data Literacy,3.63,5946.59,In Progress
2023-01-31,EMP00044,Cybersecurity,18.08,38706.81,Completed
2023-02-28,EMP00044,Compliance,5.17,6906.56,Completed
2023-08-31,EMP00044,Data Literacy,11.07,10173.95,Completed
2023-09-30,EMP00044,Data Literacy,16.67,17291.99,Completed
2024-01-31,EMP00044,Leadership,22.24,44283.0,Completed
2024-02-29,EMP00044,Technical Skills,23.08,25205.64,Completed
2024-03-31,EMP00044,Data Literacy,5.52,11089.12,Completed
2024-04-30,EMP00044,Data Literacy,15.83,27224.12,Completed
2024-05-31,EMP00044,Communication,4.14,2744.84,In Progress
2022-02-28,EMP00045,Compliance,18.5,33589.05,Completed
2022-03-31,EMP00045,Technical Skills,21.9,26455.79,Completed
2022-06-30,EMP00045,Cybersecurity,22.09,43702.12,In Progress
2022-07-31,EMP00045,Leadership,5.9,4153.21,Completed
2022-08-31,EMP00045,Leadership,18.2,20853.85,In Progress
2022-11-30,EMP00045,Communication,19.42,18894.13,Completed
2023-02-28,EMP00045,Technical Skills,7.79,15619.59,Completed
2023-06-30,EMP00045,Communication,9.57,16964.38,Completed
2023-08-31,EMP00045,Compliance,17.36,27234.56,In Progress
2023-09-30,EMP00045,Communication,8.9,19567.15,Completed
2024-03-31,EMP00045,Compliance,6.35,8862.8,Completed
2024-07-31,EMP00045,Compliance,15.89,18142.07,Completed
2024-09-30,EMP00045,Compliance,11.17,10445.4,Completed
2023-04-30,EMP00046,Communication,12.18,24855.59,In Progress
2023-05-31,EMP00046,Compliance,17.66,20875.04,Completed
2023-06-30,EMP00046,Compliance,23.05,31705.65,Completed
2023-09-30,EMP00046,Leadership,16.34,29735.5,Completed
