attendance_date,employee_id,scheduled_days,present_days,leave_days,absence_days,overtime_hours
2023-12-31,EMP00006,20,17,3,0,8.5
2024-01-31,EMP00006,21,20,1,0,5.48
2024-02-29,EMP00006,22,19,1,2,0.25
2024-03-31,EMP00006,20,20,0,0,8.34
2024-04-30,EMP00006,23,19,3,1,2.69
2024-05-31,EMP00006,21,18,3,0,10.37
2024-06-30,EMP00006,21,19,2,0,3.4
2024-07-31,EMP00006,20,19,1,0,15.75
2024-08-31,EMP00006,20,20,0,0,4.08
2024-09-30,EMP00006,20,18,2,0,6.39
2024-10-31,EMP00006,21,19,0,2,12.07
2024-11-30,EMP00006,21,19,2,0,1.85
2024-12-31,EMP00006,21,19,1,1,9.14
2022-01-31,EMP00007,23,21,2,0,14.54
2022-02-28,EMP00007,20,19,0,1,0.0
2022-03-31,EMP00007,22,20,1,1,8.92
2022-04-30,EMP00007,23,23,0,0,9.3
2022-05-31,EMP00007,21,19,2,0,11.91
2022-06-30,EMP00007,20,14,4,2,1.82
2022-07-31,EMP00007,21,21,0,0,1.4
2022-08-31,EMP00007,23,22,1,0,10.61
2022-09-30,EMP00007,20,19,1,0,9.48
2022-10-31,EMP00007,23,23,0,0,9.25
2022-11-30,EMP00007,21,21,0,0,9.73
2022-12-31,EMP00007,20,17,3,0,4.6
2023-01-31,EMP00007,22,22,0,0,9.16
2023-02-28,EMP00007,21,21,0,0,9.47
2023-03-31,EMP00007,23,22,1,0,4.43
2023-04-30,EMP00007,20,17,3,0,17.33
2023-05-31,EMP00007,21,20,1,0,10.37
2023-06-30,EMP00007,23,21,2,0,2.04
2023-07-31,EMP00007,23,19,4,0,11.28
2023-08-31,EMP00007,20,19,1,0,3.13
2023-09-30,EMP00007,20,19,1,0,11.94
2023-10-31,EMP00007,21,21,0,0,13.79
2023-11-30,EMP00007,20,20,0,0,3.9
2023-12-31,EMP00007,23,22,1,0,12.82
2024-01-31,EMP00007,20,17,3,0,10.06
2024-02-29,EMP00007,22,21,1,0,12.11
2024-03-31,EMP00007,21,19,2,0,17.48
2024-04-30,EMP00007,20,20,0,0,6.77
2024-05-31,EMP00007,22,21,1,0,4.23
2024-06-30,EMP00007,21,21,0,0,3.55
2024-07-31,EMP00007,21,19,2,0,3.92
2024-08-31,EMP00007,22,22,0,0,7.61
2024-09-30,EMP00007,20,19,1,0,9.71
2024-10-31,EMP00007,20,19,0,1,9.38
2024-11-30,EMP00007,20,20,0,0,12.14
2024-12-31,EMP00007,22,21,1,0,8.07
2022-01-31,EMP00008,20,19,0,1,15.27
2022-02-28,EMP00008,22,21,1,0,6.68
2022-03-31,EMP00008,22,21,1,0,21.6
2022-04-30,EMP00008,21,18,1,2,11.13
2022-05-31,EMP00008,20,20,0,0,3.71
2022-06-30,EMP00008,21,19,2,0,2.65
2022-07-31,EMP00008,21,20,1,0,10.41
2022-08-31,EMP00008,22,19,1,2,6.88
2022-09-30,EMP00008,20,17,3,0,11.57
2022-10-31,EMP00008,21,21,0,0,10.37
2022-11-30,EMP00008,22,21,1,0,7.64
2022-12-31,EMP00008,21,19,2,0,3.77
2023-01-31,EMP00008,21,19,2,0,0.43
2023-02-28,EMP00008,20,19,1,0,5.77
2023-03-31,EMP00008,22,22,0,0,12.28
2023-04-30,EMP00008,20,17,3,0,9.07
2023-05-31,EMP00008,22,22,0,0,1.77
2023-06-30,EMP00008,21,19,2,0,8.87
2023-07-31,EMP00008,23,21,2,0,9.93
2023-08-31,EMP00008,20,20,0,0,3.58
2023-09-30,EMP00008,22,20,0,2,8.77
2023-10-31,EMP00008,21,20,0,1,8.29
2023-11-30,EMP00008,22,21,1,0,2.29
2023-12-31,EMP00008,23,23,0,0,9.79
2024-01-31,EMP00008,21,21,0,0,10.8
2024-02-29,EMP00008,20,19,1,0,13.42
2024-03-31,EMP00008,23,20,3,0,13.27
2024-04-30,EMP00008,20,18,2,0,1.11
2024-05-31,EMP00008,20,20,0,0,3.31
2024-06-30,EMP00008,22,22,0,0,10.58
2024-07-31,EMP00008,21,19,2,0,10.57
2024-08-31,EMP00008,22,22,0,0,10.58
2024-09-30,EMP00008,22,20,2,0,27.26
2024-10-31,EMP00008,21,21,0,0,10.85
2024-11-30,EMP00008,20,18,1,1,13.68
2024-12-31,EMP00008,22,22,0,0,12.77
2022-07-31,EMP00009,20,19,0,1,11.26
2022-08-31,EMP00009,23,21,2,0,6.42
2022-09-30,EMP00009,20,18,1,1,11.79
2022-10-31,EMP00009,20,17,2,1,4.14
2022-11-30,EMP00009,22,19,3,0,6.82
2022-12-31,EMP00009,20,20,0,0,5.57
2023-01-31,EMP00009,22,22,0,0,8.41
2023-02-28,EMP00009,23,22,1,0,19.57
2023-03-31,EMP00009,20,20,0,0,0.0
2023-04-30,EMP00009,22,22,0,0,11.43
2023-05-31,EMP00009,22,21,1,0,0.0
2023-06-30,EMP00009,22,19,2,1,5.64
2023-07-31,EMP00009,21,17,3,1,13.44
2023-08-31,EMP00009,22,20,0,2,8.32
2023-09-30,EMP00009,20,19,1,0,2.61
2023-10-31,EMP00009,20,17,2,1,4.42
2023-11-30,EMP00009,23,22,0,1,11.4
2023-12-31,EMP00009,22,20,2,0,4.35
2024-01-31,EMP00009,23,19,4,0,9.08
2024-02-29,EMP00009,21,21,0,0,8.23
2024-03-31,EMP00009,23,19,2,2,4.74
2024-04-30,EMP00009,20,18,2,0,18.72
2024-05-31,EMP00009,23,21,2,0,11.17
2024-06-30,EMP00009,23,22,1,0,0.0
2024-07-31,EMP00009,23,22,1,0,8.93
2024-08-31,EMP00009,23,22,1,0,4.69
2024-09-30,EMP00009,20,19,1,0,12.26
2022-01-31,EMP00010,23,22,1,0,4.04
2022-02-28,EMP00010,22,22,0,0,7.43
2022-03-31,EMP00010,22,21,1,0,10.52
2022-04-30,EMP00010,22,22,0,0,12.33
2022-05-31,EMP00010,20,18,1,1,2.0
2022-06-30,EMP00010,23,23,0,0,6.33
2022-07-31,EMP00010,20,18,2,0,5.63
2022-08-31,EMP00010,22,20,1,1,4.73
2022-09-30,EMP00010,21,20,1,0,16.83
2022-10-31,EMP00010,20,18,2,0,10.02
2022-11-30,EMP00010,20,18,2,0,1.7
2022-12-31,EMP00010,22,21,0,1,12.59
2023-01-31,EMP00010,22,22,0,0,18.61
2023-02-28,EMP00010,23,21,2,0,13.16
2023-03-31,EMP00010,21,20,1,0,0.4
2023-04-30,EMP00010,23,20,3,0,5.58
2023-05-31,EMP00010,22,20,2,0,14.33
2023-06-30,EMP00010,20,18,1,1,4.46
2023-07-31,EMP00010,20,19,0,1,10.22
2022-01-31,EMP00011,20,20,0,0,11.87
2022-02-28,EMP00011,23,21,2,0,3.37
2022-03-31,EMP00011,22,20,1,1,7.7
2022-04-30,EMP00011,23,20,3,0,0.0
2022-05-31,EMP00011,22,21,1,0,2.88
2022-06-30,EMP00011,22,22,0,0,6.74
2022-07-31,EMP00011,22,19,3,0,1.76
2022-08-31,EMP00011,20,20,0,0,16.16
2022-09-30,EMP00011,22,18,3,1,0.85
2022-10-31,EMP00011,20,18,2,0,5.8
2022-11-30,EMP00011,20,19,1,0,8.65
2022-12-31,EMP00011,20,17,3,0,15.21
2023-01-31,EMP00011,22,21,0,1,0.82
2023-02-28,EMP00011,22,19,3,0,13.82
2023-03-31,EMP00011,20,20,0,0,8.05
2023-04-30,EMP00011,23,19,3,1,3.09
2023-05-31,EMP00011,22,21,1,0,10.31
2023-06-30,EMP00011,22,21,1,0,9.0
2023-07-31,EMP00011,21,21,0,0,5.0
2023-08-31,EMP00011,21,19,2,0,8.35
2023-09-30,EMP00011,22,20,1,1,6.07
2023-10-31,EMP00011,22,20,2,0,8.57
2023-11-30,EMP00011,21,20,1,0,11.31
2023-12-31,EMP00011,21,21,0,0,15.93
2024-01-31,EMP00011,23,23,0,0,1.81
2024-02-29,EMP00011,22,22,0,0,18.67
2024-03-31,EMP00011,23,23,0,0,0.0
2024-04-30,EMP00011,21,20,1,0,7.24
2024-05-31,EMP00011,21,19,0,2,10.94
2024-06-30,EMP00011,23,23,0,0,9.4
2024-07-31,EMP00011,22,22,0,0,4.89
2024-08-31,EMP00011,20,20,0,0,6.96
2024-09-30,EMP00011,23,21,2,0,5.53
2024-10-31,EMP00011,22,19,3,0,5.05
2024-11-30,EMP00011,21,18,1,2,12.25
2024-12-31,EMP00011,22,21,1,0,9.79
2022-01-31,EMP00012,20,20,0,0,4.54
2022-02-28,EMP00012,23,23,0,0,12.5
2022-03-31,EMP00012,23,22,1,0,9.54
2022-04-30,EMP00012,21,19,2,0,12.06
2022-05-31,EMP00012,21,18,1,2,11.15
2022-06-30,EMP00012,21,20,1,0,3.86
2022-07-31,EMP00012,20,19,1,0,5.2
2022-08-31,EMP00012,22,22,0,0,11.74
2022-09-30,EMP00012,23,20,1,2,11.05
2022-10-31,EMP00012,21,21,0,0,7.9
2022-11-30,EMP00012,22,20,2,0,8.59
2022-12-31,EMP00012,23,23,0,0,14.39
2023-01-31,EMP00012,21,20,1,0,5.04
2023-02-28,EMP00012,21,21,0,0,10.74
2023-03-31,EMP00012,22,19,3,0,6.99
2023-04-30,EMP00012,23,22,1,0,6.91
2023-05-31,EMP00012,21,20,1,0,13.49
2023-06-30,EMP00012,21,18,3,0,12.13
2023-07-31,EMP00012,23,21,0,2,12.07
2023-08-31,EMP00012,22,20,2,0,14.53
2023-09-30,EMP00012,23,22,1,0,8.11
2023-10-31,EMP00012,20,20,0,0,11.41
2023-11-30,EMP00012,22,22,0,0,6.45
2023-12-31,EMP00012,23,22,1,0,9.62
2024-01-31,EMP00012,22,19,3,0,7.35
2024-02-29,EMP00012,20,19,1,0,8.48
2024-03-31,EMP00012,23,20,2,1,10.98
2024-04-30,EMP00012,22,18,2,2,3.91
2024-05-31,EMP00012,22,22,0,0,18.46
2024-06-30,EMP00012,23,22,1,0,2.97
2024-07-31,EMP00012,21,19,2,0,1.93
2024-01-31,EMP00013,21,21,0,0,13.79
2024-02-29,EMP00013,20,20,0,0,11.96
2024-03-31,EMP00013,23,18,4,1,11.12
2024-04-30,EMP00013,23,23,0,0,11.14
2024-05-31,EMP00013,23,20,3,0,7.94
2024-06-30,EMP00013,22,21,1,0,3.51
2024-07-31,EMP00013,23,23,0,0,8.38
2024-08-31,EMP00013,22,18,3,1,4.61
2024-09-30,EMP00013,23,23,0,0,12.88
2024-10-31,EMP00013,23,20,2,1,7.26
2024-11-30,EMP00013,22,20,2,0,3.87
2024-12-31,EMP00013,21,21,0,0,6.39
2023-03-31,EMP00014,21,21,0,0,10.06
2023-04-30,EMP00014,21,20,0,1,5.18
2023-05-31,EMP00014,20,20,0,0,3.89
2023-06-30,EMP00014,22,20,2,0,9.22
2023-07-31,EMP00014,20,17,2,1,9.22
2023-08-31,EMP00014,23,19,4,0,5.47
2023-09-30,EMP00014,20,18,2,0,5.64
2023-10-31,EMP00014,22,22,0,0,9.16
2023-11-30,EMP00014,23,21,2,0,0.76
2023-12-31,EMP00014,22,20,2,0,0.96
2024-01-31,EMP00014,22,20,2,0,4.41
2024-02-29,EMP00014,21,21,0,0,6.93
2024-03-31,EMP00014,21,21,0,0,9.55
2024-04-30,EMP00014,20,19,1,0,15.38
2024-05-31,EMP00014,20,20,0,0,12.29
2024-06-30,EMP00014,21,20,1,0,7.2
2024-07-31,EMP00014,20,14,4,2,7.9
2024-08-31,EMP00014,22,20,1,1,2.99
2024-09-30,EMP00014,22,20,2,0,7.91
2024-10-31,EMP00014,21,19,2,0,6.56
2024-11-30,EMP00014,22,19,3,0,9.61
2024-12-31,EMP00014,21,18,3,0,3.86
2022-01-31,EMP00015,21,21,0,0,10.6
2022-02-28,EMP00015,21,20,0,1,15.66
2022-03-31,EMP00015,22,22,0,0,7.46
2022-04-30,EMP00015,22,22,0,0,10.01
2022-05-31,EMP00015,23,23,0,0,11.45
2022-06-30,EMP00015,21,17,2,2,5.99
2022-07-31,EMP00015,21,19,2,0,9.12
2022-08-31,EMP00015,23,23,0,0,8.06
2022-09-30,EMP00015,20,20,0,0,8.49
2022-10-31,EMP00015,22,20,2,0,4.13
2022-11-30,EMP00015,23,20,3,0,8.12
2022-12-31,EMP00015,23,20,2,1,10.49
2023-01-31,EMP00015,20,18,2,0,15.26
2023-02-28,EMP00015,23,23,0,0,12.8
2023-03-31,EMP00015,22,22,0,0,18.77
2023-04-30,EMP00015,22,19,3,0,4.16
2023-05-31,EMP00015,23,23,0,0,12.36
2023-06-30,EMP00015,22,20,2,0,8.92
2023-07-31,EMP00015,23,21,2,0,18.95
2023-08-31,EMP00015,20,18,2,0,3.96
2023-09-30,EMP00015,21,18,3,0,3.8
2022-01-31,EMP00016,22,21,1,0,5.0
2022-02-28,EMP00016,21,17,4,0,0.0
2022-03-31,EMP00016,21,19,2,0,5.37
2022-01-31,EMP00017,22,21,1,0,4.2
2022-02-28,EMP00017,20,20,0,0,8.75
2022-03-31,EMP00017,20,19,1,0,9.71
2022-04-30,EMP00017,21,19,0,2,17.38
2022-05-31,EMP00017,23,20,3,0,12.75
2022-06-30,EMP00017,20,20,0,0,5.12
2022-07-31,EMP00017,23,20,3,0,3.51
2022-08-31,EMP00017,21,18,3,0,10.46
2022-09-30,EMP00017,20,20,0,0,1.4
2022-10-31,EMP00017,21,19,2,0,17.16
2022-11-30,EMP00017,21,19,2,0,13.9
2022-12-31,EMP00017,23,22,0,1,5.65
2023-01-31,EMP00017,22,20,2,0,0.0
2023-02-28,EMP00017,22,22,0,0,14.77
2023-03-31,EMP00017,22,22,0,0,7.43
2023-04-30,EMP00017,22,19,1,2,14.19
2023-05-31,EMP00017,22,20,0,2,0.03
2023-06-30,EMP00017,21,20,1,0,5.0
2023-07-31,EMP00017,23,21,2,0,8.03
2023-08-31,EMP00017,20,18,1,1,8.23
2023-09-30,EMP00017,23,21,2,0,5.75
2023-10-31,EMP00017,20,20,0,0,11.11
2023-11-30,EMP00017,22,21,0,1,2.66
2023-12-31,EMP00017,21,21,0,0,7.29
2024-01-31,EMP00017,21,19,0,2,8.6
2024-02-29,EMP00017,20,17,3,0,10.57
2024-03-31,EMP00017,21,19,2,0,11.56
2024-04-30,EMP00017,21,21,0,0,2.38
2024-05-31,EMP00017,20,16,4,0,0.33
2024-06-30,EMP00017,22,19,2,1,14.39
2024-07-31,EMP00017,20,17,3,0,9.66
2024-08-31,EMP00017,23,23,0,0,4.26
2024-09-30,EMP00017,22,21,1,0,15.76
2024-10-31,EMP00017,20,19,1,0,8.58
2024-11-30,EMP00017,20,16,4,0,13.9
2024-12-31,EMP00017,20,17,3,0,8.34
2022-01-31,EMP00018,22,22,0,0,18.3
2022-02-28,EMP00018,20,18,2,0,16.78
2022-03-31,EMP00018,23,22,1,0,6.76
2022-04-30,EMP00018,20,18,2,0,12.86
2022-05-31,EMP00018,20,20,0,0,11.23
2022-06-30,EMP00018,23,23,0,0,14.84
2022-07-31,EMP00018,23,22,1,0,3.18
2022-08-31,EMP00018,20,19,0,1,11.43
2022-09-30,EMP00018,23,22,1,0,13.29
2022-10-31,EMP00018,20,18,1,1,0.0
2022-11-30,EMP00018,21,20,1,0,2.08
2022-12-31,EMP00018,23,23,0,0,0.0
2023-01-31,EMP00018,21,21,0,0,6.65
2023-02-28,EMP00018,21,21,0,0,11.59
2023-03-31,EMP00018,20,19,1,0,15.51
2023-04-30,EMP00018,22,19,3,0,8.37
2023-05-31,EMP00018,20,18,1,1,16.14
2023-06-30,EMP00018,21,20,1,0,1.1
2023-07-31,EMP00018,23,21,0,2,0.0
2023-08-31,EMP00018,20,19,1,0,7.72
2023-09-30,EMP00018,20,16,4,0,9.92
2023-10-31,EMP00018,22,20,2,0,7.84
2023-11-30,EMP00018,21,20,1,0,0.0
2023-12-31,EMP00018,21,16,3,2,7.55
2024-01-31,EMP00018,22,22,0,0,1.48
2024-02-29,EMP00018,20,18,2,0,11.35
2024-03-31,EMP00018,22,20,2,0,9.83
2024-04-30,EMP00018,23,23,0,0,3.3
2024-05-31,EMP00018,20,20,0,0,5.43
2024-06-30,EMP00018,22,21,1,0,2.7
2024-07-31,EMP00018,23,22,1,0,7.69
2024-08-31,EMP00018,20,19,0,1,12.78
2024-09-30,EMP00018,21,20,1,0,3.07
2024-10-31,EMP00018,22,22,0,0,10.52
2024-11-30,EMP00018,22,21,1,0,5.35
2024-12-31,EMP00018,23,23,0,0,4.04
2022-01-31,EMP00019,21,21,0,0,7.46
2022-02-28,EMP00019,22,22,0,0,2.82
2022-03-31,EMP00019,22,22,0,0,5.23
2022-04-30,EMP00019,23,23,0,0,2.01
2022-05-31,EMP00019,23,23,0,0,17.82
2022-06-30,EMP00019,23,21,2,0,8.18
2022-07-31,EMP00019,20,19,1,0,4.5
2022-08-31,EMP00019,21,20,1,0,9.07
2022-09-30,EMP00019,22,22,0,0,7.44
2022-10-31,EMP00019,23,19,4,0,6.9
2022-11-30,EMP00019,23,23,0,0,11.07
2022-12-31,EMP00019,23,22,1,0,11.79
2023-01-31,EMP00019,23,23,0,0,5.35
2023-02-28,EMP00019,23,23,0,0,5.12
2023-03-31,EMP00019,20,19,1,0,6.62
2023-04-30,EMP00019,23,20,1,2,0.0
2023-05-31,EMP00019,21,21,0,0,0.42
2023-06-30,EMP00019,23,23,0,0,14.83
2023-07-31,EMP00019,22,20,0,2,16.22
2023-08-31,EMP00019,23,22,1,0,6.75
2022-01-31,EMP00020,23,22,0,1,10.88
2022-02-28,EMP00020,23,21,1,1,9.56
2022-03-31,EMP00020,23,20,3,0,23.39
2022-04-30,EMP00020,20,18,2,0,13.6
2022-05-31,EMP00020,22,22,0,0,7.36
2022-06-30,EMP00020,22,21,1,0,3.22
2022-07-31,EMP00020,23,20,3,0,0.0
2022-08-31,EMP00020,23,22,1,0,9.02
2022-09-30,EMP00020,21,19,2,0,4.22
2022-10-31,EMP00020,23,23,0,0,0.89
2022-11-30,EMP00020,20,17,3,0,4.77
2022-12-31,EMP00020,20,17,2,1,2.59
2023-01-31,EMP00020,21,18,3,0,16.44
2023-02-28,EMP00020,21,19,2,0,12.41
2023-03-31,EMP00020,20,17,2,1,7.96
2023-04-30,EMP00020,21,19,1,1,15.4
2023-05-31,EMP00020,23,23,0,0,8.39
2023-06-30,EMP00020,21,21,0,0,3.69
2023-07-31,EMP00020,20,18,2,0,15.62
2023-08-31,EMP00020,20,20,0,0,10.69
2023-09-30,EMP00020,21,21,0,0,2.81
2023-10-31,EMP00020,21,21,0,0,7.05
2023-11-30,EMP00020,22,18,4,0,3.62
2023-12-31,EMP00020,21,20,1,0,1.09
2024-01-31,EMP00020,20,20,0,0,12.63
2024-02-29,EMP00020,20,20,0,0,17.55
2024-03-31,EMP00020,23,21,2,0,1.01
2024-04-30,EMP00020,22,20,2,0,10.81
2024-05-31,EMP00020,22,22,0,0,4.75
2024-06-30,EMP00020,21,19,2,0,5.56
2024-07-31,EMP00020,21,19,0,2,5.04
2024-08-31,EMP00020,21,21,0,0,3.68
2024-09-30,EMP00020,21,21,0,0,8.24
2024-10-31,EMP00020,21,21,0,0,3.85
2024-11-30,EMP00020,21,21,0,0,9.35
2024-12-31,EMP00020,23,20,2,1,7.75
2022-01-31,EMP00021,23,23,0,0,6.81
2022-02-28,EMP00021,23,23,0,0,3.46
2022-03-31,EMP00021,21,18,3,0,5.12
2022-04-30,EMP00021,22,21,1,0,11.78
2022-05-31,EMP00021,20,19,1,0,10.5
2022-06-30,EMP00021,23,20,3,0,3.11
2022-07-31,EMP00021,23,20,3,0,8.5
2022-08-31,EMP00021,20,18,2,0,11.76
2022-09-30,EMP00021,21,21,0,0,0.0
2022-10-31,EMP00021,20,19,1,0,10.72
2022-11-30,EMP00021,23,23,0,0,4.69
2022-12-31,EMP00021,23,22,1,0,10.85
2023-01-31,EMP00021,21,21,0,0,4.18
2023-02-28,EMP00021,22,22,0,0,0.0
2023-03-31,EMP00021,20,20,0,0,0.0
2023-04-30,EMP00021,20,18,1,1,8.24
2023-05-31,EMP00021,23,21,1,1,9.3
2023-06-30,EMP00021,22,22,0,0,3.48
2023-07-31,EMP00021,20,20,0,0,11.19
2023-08-31,EMP00021,23,22,1,0,0.0
2023-09-30,EMP00021,22,20,2,0,7.67
2023-10-31,EMP00021,23,20,1,2,1.94
2023-11-30,EMP00021,20,19,0,1,4.74
2023-12-31,EMP00021,21,21,0,0,8.24
2024-01-31,EMP00021,23,22,1,0,3.7
2024-02-29,EMP00021,22,17,3,2,6.08
2024-03-31,EMP00021,23,23,0,0,13.03
2024-04-30,EMP00021,23,18,4,1,5.12
2024-05-31,EMP00021,23,23,0,0,12.18
2024-06-30,EMP00021,20,20,0,0,2.35
2024-07-31,EMP00021,23,19,4,0,10.65
2024-08-31,EMP00021,21,21,0,0,15.21
2024-09-30,EMP00021,20,18,0,2,0.0
2024-10-31,EMP00021,22,22,0,0,4.02
2024-11-30,EMP00021,20,17,2,1,10.89
2024-12-31,EMP00021,23,23,0,0,6.98
2022-05-31,EMP00022,23,21,2,0,9.86
2022-06-30,EMP00022,23,21,2,0,4.98
2022-07-31,EMP00022,20,19,1,0,8.43
2022-08-31,EMP00022,21,17,2,2,7.22
2022-09-30,EMP00022,21,21,0,0,13.84
2022-10-31,EMP00022,23,21,2,0,9.27
2022-11-30,EMP00022,22,20,0,2,9.69
2022-12-31,EMP00022,22,20,2,0,5.94
