performance_date,employee_id,rating_code,goals_completed,promotion_flag,bonus_amount
2023-03-31,EMP00015,2,12,False,0.0
2023-06-30,EMP00015,4,12,False,63598.92
2023-09-30,EMP00015,1,10,False,0.0
2022-03-31,EMP00016,1,11,False,0.0
2022-03-31,EMP00017,3,4,False,18394.16
2022-06-30,EMP00017,3,6,False,35984.72
2022-09-30,EMP00017,4,7,False,33544.27
2022-12-31,EMP00017,5,12,False,60863.33
2023-03-31,EMP00017,4,11,False,55992.4
2023-06-30,EMP00017,3,3,False,45317.5
2023-09-30,EMP00017,4,12,False,19586.38
2023-12-31,EMP00017,3,7,False,35977.37
2024-03-31,EMP00017,4,12,False,40927.45
2024-06-30,EMP00017,1,9,False,0.0
2024-09-30,EMP00017,4,3,False,32198.3
2024-12-31,EMP00017,3,4,False,42891.88
2022-03-31,EMP00018,2,3,False,0.0
2022-06-30,EMP00018,3,12,False,157660.68
2022-09-30,EMP00018,2,3,False,0.0
2022-12-31,EMP00018,1,5,False,0.0
2023-03-31,EMP00018,3,6,False,157307.67
2023-06-30,EMP00018,3,8,False,160821.4
2023-09-30,EMP00018,3,6,False,173292.62
2023-12-31,EMP00018,5,9,False,42370.3
2024-03-31,EMP00018,2,7,False,0.0
2024-06-30,EMP00018,3,8,False,115829.78
2024-09-30,EMP00018,4,12,False,166435.1
2024-12-31,EMP00018,3,6,False,74341.88
2022-03-31,EMP00019,5,9,False,108869.97
2022-06-30,EMP00019,3,10,False,119683.94
2022-09-30,EMP00019,4,5,False,131015.69
2022-12-31,EMP00019,3,11,False,42924.38
2023-03-31,EMP00019,1,8,False,0.0
2023-06-30,EMP00019,3,6,False,79847.52
2022-03-31,EMP00020,3,9,False,37624.69
2022-06-30,EMP00020,3,3,False,27723.8
2022-09-30,EMP00020,3,7,False,43608.4
2022-12-31,EMP00020,3,4,False,24728.16
2023-03-31,EMP00020,2,5,False,0.0
2023-06-30,EMP00020,1,6,False,0.0
2023-09-30,EMP00020,3,9,False,36756.16
2023-12-31,EMP00020,1,3,False,0.0
2024-03-31,EMP00020,3,3,False,30181.69
2024-06-30,EMP00020,3,9,False,30206.77
2024-09-30,EMP00020,4,7,False,16644.15
2024-12-31,EMP00020,4,3,False,26268.03
2022-03-31,EMP00021,4,8,False,131862.26
2022-06-30,EMP00021,4,7,False,111466.77
2022-09-30,EMP00021,3,9,False,70010.07
2022-12-31,EMP00021,4,4,False,90502.92
2023-03-31,EMP00021,3,7,False,109295.58
2023-06-30,EMP00021,3,10,False,102239.41
2023-09-30,EMP00021,3,6,False,133654.49
2023-12-31,EMP00021,3,6,False,66585.28
2024-03-31,EMP00021,4,4,False,133431.19
2024-06-30,EMP00021,3,11,False,139069.65
2024-09-30,EMP00021,1,8,False,0.0
2024-12-31,EMP00021,4,12,False,93790.74
2022-06-30,EMP00022,2,4,False,0.0
2022-09-30,EMP00022,4,8,False,122913.31
2022-12-31,EMP00022,5,8,False,98594.61
2023-03-31,EMP00022,5,9,False,78276.8
2023-06-30,EMP00022,3,5,False,44068.76
2023-09-30,EMP00022,2,11,False,0.0
2023-12-31,EMP00022,4,7,False,69379.93
2024-03-31,EMP00022,3,12,False,34977.9
2024-06-30,EMP00022,4,4,False,85940.34
2024-09-30,EMP00022,3,8,False,77719.91
2024-12-31,EMP00022,3,11,False,48929.95
2022-03-31,EMP00023,3,11,False,85373.45
2022-06-30,EMP00023,4,7,True,61213.89
2022-09-30,EMP00023,4,5,False,100956.85
2022-12-31,EMP00023,3,10,False,125814.78
2023-03-31,EMP00023,3,4,False,98632.0
2023-06-30,EMP00023,5,3,False,95730.02
2023-09-30,EMP00023,2,8,False,0.0
2023-12-31,EMP00023,3,3,False,99488.2
2024-03-31,EMP00023,3,8,False,32578.21
2024-06-30,EMP00023,4,4,False,90818.1
2024-09-30,EMP00023,5,4,False,79559.07
2024-12-31,EMP00023,4,6,True,109225.69
2022-03-31,EMP00024,3,6,False,99349.95
2022-06-30,EMP00024,1,6,False,0.0
2022-09-30,EMP00024,2,9,False,0.0
2022-12-31,EMP00024,3,7,False,131689.18
2023-03-31,EMP00024,3,4,False,124678.34
2023-06-30,EMP00024,4,9,True,70986.8
2023-09-30,EMP00024,4,11,False,41917.28
2023-12-31,EMP00024,4,11,False,48615.82
2024-03-31,EMP00024,2,8,False,0.0
2024-06-30,EMP00024,1,8,False,0.0
2024-09-30,EMP00024,3,9,False,40784.62
2024-12-31,EMP00024,2,9,False,0.0
2022-03-31,EMP00025,4,11,False,79962.71
2022-06-30,EMP00025,3,9,False,50770.0
2022-09-30,EMP00025,3,7,False,82772.45
2022-12-31,EMP00025,4,7,False,127986.06
2023-03-31,EMP00025,3,7,False,51190.73
2023-06-30,EMP00025,3,11,False,109343.71
2023-09-30,EMP00025,4,9,False,152654.08
2023-12-31,EMP00025,3,7,False,99537.1
2024-03-31,EMP00025,5,11,False,63465.63
2024-06-30,EMP00025,3,9,False,152569.7
2024-09-30,EMP00025,3,3,False,113432.04
2024-12-31,EMP00025,3,11,False,149635.0
2024-06-30,EMP00026,4,4,False,40236.37
2024-09-30,EMP00026,2,3,False,0.0
2024-12-31,EMP00026,3,5,False,106269.17
2022-03-31,EMP00027,3,7,False,76658.03
2022-06-30,EMP00027,4,8,False,59943.09
2022-09-30,EMP00027,3,12,False,16458.74
2022-12-31,EMP00027,3,10,False,76222.62
2023-03-31,EMP00027,5,12,False,14936.71
2023-06-30,EMP00027,5,10,False,22313.25
2023-09-30,EMP00027,3,11,False,69327.81
2023-12-31,EMP00027,4,9,False,68665.88
2024-03-31,EMP00027,2,3,False,0.0
2024-06-30,EMP00027,4,11,False,28144.26
2024-09-30,EMP00027,5,3,True,25142.79
2024-12-31,EMP00027,3,5,False,81068.15
2022-03-31,EMP00028,3,4,False,71805.36
2022-06-30,EMP00028,4,10,False,77136.55
2022-09-30,EMP00028,2,10,False,0.0
2022-12-31,EMP00028,1,4,False,0.0
2023-03-31,EMP00028,3,12,False,63123.3
2023-06-30,EMP00028,5,8,False,67220.96
2023-09-30,EMP00028,4,12,False,78439.25
2023-12-31,EMP00028,4,4,False,85962.84
2024-03-31,EMP00028,2,8,False,0.0
2024-06-30,EMP00028,3,4,False,61068.27
2024-09-30,EMP00028,3,12,False,93735.37
2024-12-31,EMP00028,3,11,False,76901.71
2022-03-31,EMP00029,4,8,False,36940.99
2022-06-30,EMP00029,3,6,False,38960.75
2022-09-30,EMP00029,3,8,False,20468.02
2022-12-31,EMP00029,3,5,False,44389.09
2023-03-31,EMP00029,3,9,False,35456.88
2023-06-30,EMP00029,4,9,False,15090.98
2023-09-30,EMP00029,3,4,False,18363.62
2022-03-31,EMP00030,2,8,False,0.0
2022-06-30,EMP00030,4,3,False,57832.15
2022-09-30,EMP00030,3,8,False,97995.26
2022-12-31,EMP00030,3,12,False,30647.89
2023-03-31,EMP00030,3,9,False,58992.39
2023-06-30,EMP00030,2,12,False,0.0
2023-09-30,EMP00030,3,9,False,62661.46
2023-12-31,EMP00030,2,3,False,0.0
2024-03-31,EMP00030,5,5,False,82977.11
2024-06-30,EMP00030,3,9,False,24224.99
2024-09-30,EMP00030,4,12,False,82220.84
2024-12-31,EMP00030,5,10,False,62383.46
2022-03-31,EMP00031,4,11,False,92659.85
2022-06-30,EMP00031,4,6,False,138045.15
2022-09-30,EMP00031,3,12,False,96623.87
2022-12-31,EMP00031,1,9,False,0.0
2023-03-31,EMP00031,4,4,False,105437.57
2023-06-30,EMP00031,4,7,True,99036.39
2023-09-30,EMP00031,3,3,False,43337.42
2023-12-31,EMP00031,3,12,False,144253.88
2024-03-31,EMP00031,4,6,False,135431.67
2024-06-30,EMP00031,2,6,False,0.0
2024-09-30,EMP00031,4,4,True,145404.29
2024-12-31,EMP00031,2,9,False,0.0
2022-03-31,EMP00032,2,10,False,0.0
2022-06-30,EMP00032,1,6,False,0.0
2022-09-30,EMP00032,4,9,False,129373.6
2022-12-31,EMP00032,4,6,False,28331.67
2023-03-31,EMP00032,3,7,False,137929.06
2023-06-30,EMP00032,3,4,False,84322.1
2023-09-30,EMP00032,5,3,False,139232.21
2023-12-31,EMP00032,4,10,False,65049.76
2024-03-31,EMP00032,2,4,False,0.0
2024-06-30,EMP00032,3,8,False,61773.94
2024-09-30,EMP00032,3,4,False,72675.88
2024-12-31,EMP00032,3,5,False,106060.45
2022-03-31,EMP00033,3,11,False,88649.71
2022-06-30,EMP00033,3,11,False,42938.18
2022-09-30,EMP00033,2,5,False,0.0
2022-12-31,EMP00033,3,8,False,24150.86
2023-03-31,EMP00033,4,8,False,47155.4
2023-06-30,EMP00033,5,11,False,38434.38
2023-09-30,EMP00033,5,4,False,61500.23
2023-12-31,EMP00033,3,6,False,101299.53
2024-03-31,EMP00033,3,6,False,88514.37
2024-06-30,EMP00033,5,7,False,62950.22
2024-09-30,EMP00033,3,7,False,108199.61
2024-12-31,EMP00033,4,8,False,73233.68
2022-03-31,EMP00034,4,3,True,37508.05
2022-06-30,EMP00034,4,7,False,47139.33
2022-09-30,EMP00034,4,7,False,68642.24
2022-12-31,EMP00034,3,12,False,200333.72
2023-03-31,EMP00034,4,11,False,130688.32
2023-06-30,EMP00034,4,8,False,116429.79
2023-09-30,EMP00034,3,7,False,54138.15
2023-12-31,EMP00034,5,5,False,155993.14
2024-03-31,EMP00034,4,8,False,192268.64
2024-06-30,EMP00034,2,11,False,0.0
2024-09-30,EMP00034,3,6,False,49664.18
2024-12-31,EMP00034,3,4,False,184666.76
2022-03-31,EMP00035,3,12,False,76573.8
2022-06-30,EMP00035,3,7,False,84825.86
2022-09-30,EMP00035,4,11,False,24005.7
2022-12-31,EMP00035,4,5,False,79300.31
2023-03-31,EMP00035,3,6,False,89566.92
2023-06-30,EMP00035,3,4,False,108562.54
2023-09-30,EMP00035,3,6,False,38006.23
2023-12-31,EMP00035,3,7,False,41063.45
2024-03-31,EMP00035,1,9,False,0.0
2024-06-30,EMP00035,3,9,False,93823.78
2024-09-30,EMP00035,3,12,False,23034.32
2024-12-31,EMP00035,3,9,False,36820.02
2022-03-31,EMP00036,4,6,False,33541.44
2022-06-30,EMP00036,3,9,False,33204.18
2022-09-30,EMP00036,2,4,False,0.0
2022-12-31,EMP00036,3,4,False,91118.47
2023-03-31,EMP00036,1,12,False,0.0
2023-06-30,EMP00036,4,3,False,42941.25
2023-09-30,EMP00036,4,11,False,27284.54
2023-12-31,EMP00036,4,3,False,76297.35
2024-03-31,EMP00036,4,6,True,55311.66
2024-06-30,EMP00036,4,7,False,97588.37
2024-09-30,EMP00036,4,6,False,83630.3
2024-12-31,EMP00036,3,12,False,54296.71
2022-03-31,EMP00037,3,5,False,134158.82
2022-06-30,EMP00037,3,4,False,174936.33
2022-09-30,EMP00037,1,12,False,0.0
2022-12-31,EMP00037,4,4,False,175806.38
2023-03-31,EMP00037,3,9,False,149964.69
2023-06-30,EMP00037,3,10,False,136620.7
2023-09-30,EMP00037,2,5,False,0.0
2023-12-31,EMP00037,3,9,False,161808.67
2024-03-31,EMP00037,3,3,False,157946.26
2024-06-30,EMP00037,3,6,False,65054.02
2024-09-30,EMP00037,3,12,False,146054.98
2024-12-31,EMP00037,3,12,False,152750.43
2022-03-31,EMP00038,5,10,False,41576.89
2022-06-30,EMP00038,2,9,False,0.0
2022-09-30,EMP00038,5,7,False,55564.51
2022-12-31,EMP00038,3,7,False,54309.34
2023-03-31,EMP00038,3,10,False,125291.41
2023-06-30,EMP00038,3,8,False,70041.1
2023-09-30,EMP00038,4,8,False,61601.06
2023-12-31,EMP00038,4,11,True,130576.28
2024-03-31,EMP00038,5,4,False,109606.23
2024-06-30,EMP00038,5,5,False,29967.55
2024-09-30,EMP00038,3,8,False,80384.95
2024-12-31,EMP00038,3,8,False,123861.37
2022-03-31,EMP00039,1,6,False,0.0
2022-06-30,EMP00039,5,12,False,77258.04
2022-09-30,EMP00039,2,7,False,0.0
2022-12-31,EMP00039,4,7,False,39740.53
2023-03-31,EMP00039,1,3,False,0.0
2023-06-30,EMP00039,5,11,False,68310.3
2023-09-30,EMP00039,4,6,False,46194.5
2023-12-31,EMP00039,3,5,False,50371.95
2024-03-31,EMP00039,3,10,False,68359.73
2024-06-30,EMP00039,3,11,False,29915.66
2024-09-30,EMP00039,3,11,False,25521.65
2024-12-31,EMP00039,2,12,False,0.0
2023-12-31,EMP00040,3,4,False,17801.7
2024-03-31,EMP00040,3,12,False,15515.67
2024-06-30,EMP00040,3,10,False,19674.95
2024-09-30,EMP00040,3,4,False,42013.19
2024-12-31,EMP00040,3,10,False,30003.0
2022-03-31,EMP00041,3,9,False,91843.6
2022-06-30,EMP00041,3,9,False,100205.56
2022-09-30,EMP00041,3,9,False,95347.17
2022-12-31,EMP00041,3,9,False,40221.35
2023-03-31,EMP00041,3,4,False,39868.34
2023-06-30,EMP00041,3,6,False,64263.89
2023-09-30,EMP00041,3,9,False,38611.98
2023-12-31,EMP00041,5,6,False,55716.33
2024-03-31,EMP00041,4,6,False,91771.14
2024-06-30,EMP00041,2,8,False,0.0
2024-09-30,EMP00041,4,9,False,73973.1
2024-12-31,EMP00041,5,5,True,112900.68
2022-06-30,EMP00042,3,9,False,121810.17
2022-09-30,EMP00042,3,8,False,33356.42
2022-12-31,EMP00042,4,5,False,114506.17
2023-03-31,EMP00042,5,8,False,127402.71
2023-06-30,EMP00042,4,12,False,81259.55
2023-09-30,EMP00042,3,10,False,34352.99
2023-12-31,EMP00042,3,5,False,94928.63
2024-03-31,EMP00042,3,12,False,24337.18
2024-06-30,EMP00042,3,7,False,122135.31
2024-09-30,EMP00042,4,10,False,23754.35
2024-12-31,EMP00042,4,7,False,54715.89
2022-03-31,EMP00044,1,3,False,0.0
2022-06-30,EMP00044,3,11,False,59813.32
2022-09-30,EMP00044,4,3,False,126337.78
2022-12-31,EMP00044,3,10,False,112492.92
2023-03-31,EMP00044,3,6,False,189144.51
2023-06-30,EMP00044,3,12,False,93325.68
2023-09-30,EMP00044,3,10,False,37076.75
2023-12-31,EMP00044,3,12,False,121016.74
2024-03-31,EMP00044,3,5,False,81122.13
2024-06-30,EMP00044,1,8,False,0.0
2024-09-30,EMP00044,4,5,False,188009.49
2024-12-31,EMP00044,3,11,False,79549.32
2022-03-31,EMP00045,4,12,True,76084.44
2022-06-30,EMP00045,3,10,False,110025.43
2022-09-30,EMP00045,4,10,False,52211.13
2022-12-31,EMP00045,3,6,False,89320.13
2023-03-31,EMP00045,2,5,False,0.0
2023-06-30,EMP00045,4,7,False,35528.33
2023-09-30,EMP00045,3,10,False,56099.94
2023-12-31,EMP00045,3,5,False,92233.25
2024-03-31,EMP00045,3,3,False,58150.25
2024-06-30,EMP00045,5,10,False,33582.45
2024-09-30,EMP00045,4,8,False,66237.26
2024-12-31,EMP00045,5,12,False,42182.56
2023-03-31,EMP00046,1,11,False,0.0
2023-06-30,EMP00046,3,12,False,54240.26
2023-09-30,EMP00046,4,3,False,32123.63
2023-12-31,EMP00046,3,12,False,51918.27
2024-03-31,EMP00046,4,3,False,20332.29
2024-06-30,EMP00046,3,9,False,71089.87
2024-09-30,EMP00046,4,9,True,76728.04
2024-12-31,EMP00046,1,12,False,0.0
2022-09-30,EMP00047,3,12,False,112796.67
2022-12-31,EMP00047,3,5,False,135112.0
2023-03-31,EMP00047,5,7,False,111958.34
2023-06-30,EMP00047,5,3,False,136465.06
2023-09-30,EMP00047,3,3,False,93636.61
2023-12-31,EMP00047,4,7,False,96202.88
2024-03-31,EMP00047,4,5,False,114720.21
2024-06-30,EMP00047,5,5,False,89230.64
2024-09-30,EMP00047,3,12,False,24596.59
2024-12-31,EMP00047,3,8,False,114499.26
2022-03-31,EMP00048,4,7,False,55275.24
2022-06-30,EMP00048,3,12,False,102098.13
2022-09-30,EMP00048,3,12,False,74801.21
2022-12-31,EMP00048,5,3,False,68635.87
2023-03-31,EMP00048,3,5,False,100521.0
2023-06-30,EMP00048,3,8,False,97174.49
2023-09-30,EMP00048,4,3,False,100104.03
2023-12-31,EMP00048,3,5,False,29274.66
2024-03-31,EMP00048,1,11,False,0.0
2024-06-30,EMP00048,2,4,False,0.0
2024-09-30,EMP00048,3,6,False,79490.86
2024-12-31,EMP00048,4,5,False,21882.16
2023-09-30,EMP00049,3,10,False,106854.02
2023-12-31,EMP00049,5,12,False,213735.93
2024-03-31,EMP00049,4,7,False,73971.58
2024-06-30,EMP00049,3,7,False,59148.5
2024-09-30,EMP00049,3,9,False,150977.82
2024-12-31,EMP00049,4,9,False,198963.05
2022-03-31,EMP00050,4,7,False,33051.09
2022-06-30,EMP00050,4,9,False,96811.57
2022-09-30,EMP00050,3,8,False,61619.08
2022-12-31,EMP00050,3,10,False,112951.4
2023-03-31,EMP00050,2,11,False,0.0
2023-06-30,EMP00050,3,5,False,44423.94
2023-09-30,EMP00050,4,7,False,22476.26
2023-12-31,EMP00050,4,6,False,82078.09
2022-03-31,EMP00051,3,11,False,56644.31
2022-06-30,EMP00051,4,7,False,18328.5
2022-09-30,EMP00051,3,4,False,26526.04
2022-12-31,EMP00051,5,5,True,16132.57
2023-03-31,EMP00051,3,11,False,42064.31
2023-06-30,EMP00051,4,7,False,51513.94
2023-09-30,EMP00051,4,4,False,59707.34
2023-12-31,EMP00051,2,12,False,0.0
2024-03-31,EMP00051,4,11,False,52658.03
2024-06-30,EMP00051,2,9,False,0.0
2024-09-30,EMP00051,3,4,False,16098.15
2024-12-31,EMP00051,2,7,False,0.0
2022-03-31,EMP00052,4,5,False,137130.08
2022-06-30,EMP00052,4,7,False,62557.74
2022-09-30,EMP00052,2,11,False,0.0
2022-12-31,EMP00052,5,8,False,154781.13
2022-03-31,EMP00053,1,10,False,0.0
2022-06-30,EMP00053,4,10,False,40029.87
2022-09-30,EMP00053,3,3,False,36981.62
2022-12-31,EMP00053,3,12,False,20922.19
2023-03-31,EMP00053,3,6,False,58026.34
2023-06-30,EMP00053,3,4,False,13979.3
2023-09-30,EMP00053,4,8,False,27998.52
2023-12-31,EMP00053,3,3,False,27337.6
2024-03-31,EMP00053,4,10,False,33292.8
2024-06-30,EMP00053,4,12,False,48893.91
2024-09-30,EMP00053,3,3,False,53576.78
2024-12-31,EMP00053,3,5,False,46144.62
2022-12-31,EMP00054,3,8,False,19042.37
2023-03-31,EMP00054,2,9,False,0.0
2023-06-30,EMP00054,2,11,False,0.0
2023-09-30,EMP00054,3,7,False,28535.01
2023-12-31,EMP00054,2,9,False,0.0
2024-03-31,EMP00054,4,9,False,15361.98
2024-06-30,EMP00054,4,8,False,21261.89
2024-09-30,EMP00054,3,7,False,7460.17
2024-12-31,EMP00054,3,10,False,14729.64
2022-03-31,EMP00055,3,5,False,58437.12
2022-06-30,EMP00055,4,11,False,146065.02
2022-09-30,EMP00055,4,12,False,105036.61
2022-12-31,EMP00055,3,3,False,76380.88
2023-03-31,EMP00055,3,7,False,159004.97
2023-06-30,EMP00055,3,3,False,212422.06
2023-09-30,EMP00055,3,3,False,163584.39
2023-12-31,EMP00055,5,10,False,70046.44
2024-03-31,EMP00055,3,10,False,90379.04
2024-06-30,EMP00055,5,4,False,112151.03
2024-09-30,EMP00055,3,11,False,55365.01
2024-12-31,EMP00055,4,3,True,39897.38
2024-03-31,EMP00056,3,5,False,196806.42
2024-06-30,EMP00057,3,10,False,99062.87
2024-09-30,EMP00057,1,7,False,0.0
2024-12-31,EMP00057,3,8,False,78123.99
2022-03-31,EMP00058,4,4,False,72066.65
2024-06-30,EMP00059,3,6,False,52805.83
2024-09-30,EMP00059,3,6,False,22047.8
2024-12-31,EMP00059,3,11,False,64033.88
2023-03-31,EMP00060,3,11,False,96694.02
2023-06-30,EMP00060,3,11,False,49318.25
2023-09-30,EMP00060,4,10,False,65187.15
2023-12-31,EMP00060,4,11,False,22699.55
2024-03-31,EMP00060,5,4,False,119378.35
2024-06-30,EMP00060,2,6,False,0.0
2024-09-30,EMP00060,4,8,False,122358.18
2024-12-31,EMP00060,2,3,False,0.0
2022-03-31,EMP00061,4,7,False,17755.42
2022-06-30,EMP00061,3,3,False,59520.32
2022-09-30,EMP00061,4,10,False,53353.94
2022-12-31,EMP00061,2,12,False,0.0
2023-03-31,EMP00061,4,11,False,38842.22
2023-06-30,EMP00061,2,5,False,0.0
2023-09-30,EMP00061,4,9,False,40241.37
2023-12-31,EMP00061,2,12,False,0.0
2024-03-31,EMP00061,3,9,False,81805.43
2024-06-30,EMP00061,1,4,False,0.0
2024-09-30,EMP00061,2,8,False,0.0
2024-12-31,EMP00061,3,4,False,69876.28
2023-12-31,EMP00062,5,12,False,58768.77
2024-03-31,EMP00062,3,9,False,22627.52
2024-06-30,EMP00062,3,8,False,42217.24
2024-09-30,EMP00062,5,10,False,51282.31
2024-12-31,EMP00062,5,9,False,54688.14
2022-03-31,EMP00063,4,12,False,48761.85
2022-06-30,EMP00063,4,9,False,16572.7
2022-09-30,EMP00063,3,4,False,51681.64
2022-12-31,EMP00063,3,11,False,62249.97
2023-03-31,EMP00063,3,12,False,41508.95
2023-06-30,EMP00063,3,5,False,13184.49
2023-09-30,EMP00063,3,10,False,53534.56
2023-12-31,EMP00063,4,8,False,34395.53
2024-03-31,EMP00063,3,6,False,48604.43
2024-06-30,EMP00063,3,12,False,21672.67
2024-09-30,EMP00063,3,10,False,41901.15
2024-12-31,EMP00063,3,10,False,21262.23
2022-03-31,EMP00064,2,9,False,0.0
2022-06-30,EMP00064,3,12,False,42818.07
2022-09-30,EMP00064,3,7,False,48791.51
2022-12-31,EMP00064,5,4,False,46487.61
2023-03-31,EMP00064,2,3,False,0.0
2023-06-30,EMP00064,4,7,False,16057.53
2023-09-30,EMP00064,4,4,False,28256.11
2023-12-31,EMP00064,3,7,False,31399.86
2022-03-31,EMP00065,5,9,False,63632.49
2022-06-30,EMP00065,3,3,False,57233.71
2022-09-30,EMP00065,5,10,False,82443.31
2022-12-31,EMP00065,4,3,False,27707.14
